seed,policy,ep_idx,friction,inertia,noise,reward,violation
0,Fixed,0,0.7,1.0,0.06154619216323706,-0.24004157913147803,1
0,Fixed,1,1.0,1.0,0.0560830804568765,-0.3160522939455231,1
0,Fixed,2,1.0,0.8,0.08641427033084204,-0.26666934284073496,1
0,Fixed,3,0.4,2.0,0.06450726596047784,-0.25055562365267686,1
0,Fixed,4,0.7,1.0,0.06496970690294569,-0.23646731607032423,1
0,Fixed,5,1.0,2.0,0.050387751304575394,-0.4489482817520903,1
0,Fixed,6,0.7,2.0,0.08226021519210205,-0.37166305444753733,1
0,Fixed,7,1.0,1.0,0.07507499147026182,-0.31549114812573,1
0,Fixed,8,1.0,0.8,0.08446942813027605,-0.2649675592031464,1
0,Fixed,9,0.7,2.0,0.0628953801152356,-0.3747352293892846,1
0,Fixed,10,1.0,1.0,0.06402736967522103,-0.3203925720807151,1
0,Fixed,11,0.7,2.0,0.08745118054519381,-0.3751844913752311,1
0,Fixed,12,0.7,1.0,0.07313422658356354,-0.24328722288277627,1
0,Fixed,13,1.0,2.0,0.06896581026143418,-0.47849689778541354,1
0,Fixed,14,0.4,1.0,0.06132902221593049,-0.20723300019658408,0
0,Fixed,15,0.7,0.8,0.0549016167730361,-0.20217231415651765,1
0,Fixed,16,1.0,2.0,0.08590579433436088,-0.4546714473254001,1
0,Fixed,17,0.7,0.8,0.07918750940328462,-0.2005667840112835,0
0,Fixed,18,0.7,0.8,0.05797868584058457,-0.2051486788138313,1
0,Fixed,19,0.4,2.0,0.0760906472546053,-0.2593280603432633,1
0,Fixed,20,0.4,1.0,0.05843248841072939,-0.20514132142274535,0
0,Fixed,21,0.4,1.0,0.08150331379436983,-0.20270931147370214,0
0,Fixed,22,1.0,0.8,0.08818960202900075,-0.2690702138191938,1
0,Fixed,23,1.0,0.8,0.056250277096177366,-0.26382815897595385,1
0,Fixed,24,0.7,1.0,0.05610868180693438,-0.23841722981712923,1
0,Fixed,25,0.7,2.0,0.053436959348887,-0.3647178204398628,1
0,Fixed,26,0.7,1.0,0.07521439148819281,-0.24122206129900994,1
0,Fixed,27,0.7,0.8,0.07108496710962903,-0.20076314900569575,1
0,Fixed,28,1.0,0.8,0.05033883316939512,-0.2657484750389193,1
0,Fixed,29,0.7,0.8,0.07156387365986244,-0.19936397434023276,0
0,EpsilonGreedy,0,0.7,1.0,0.06154619216323706,-0.1197267566085752,0
0,EpsilonGreedy,1,1.0,1.0,0.0560830804568765,-0.15725936005850322,0
0,EpsilonGreedy,2,1.0,0.8,0.08641427033084204,-0.12875220960983108,0
0,EpsilonGreedy,3,0.4,2.0,0.06450726596047784,-0.1894143831772307,0
0,EpsilonGreedy,4,0.7,1.0,0.06496970690294569,-0.12025320584878262,0
0,EpsilonGreedy,5,1.0,2.0,0.050387751304575394,-0.30462530191612064,1
0,EpsilonGreedy,6,0.7,2.0,0.08226021519210205,-0.23666529020555782,0
0,EpsilonGreedy,7,1.0,1.0,0.07507499147026182,-0.1571600099158031,0
0,EpsilonGreedy,8,1.0,0.8,0.08446942813027605,-0.12114116141295271,0
0,EpsilonGreedy,9,0.7,2.0,0.0628953801152356,-0.22766291735002733,0
0,EpsilonGreedy,10,1.0,1.0,0.06402736967522103,-0.1528888075905922,0
0,EpsilonGreedy,11,0.7,2.0,0.08745118054519381,-0.23393128995595222,0
0,EpsilonGreedy,12,0.7,1.0,0.07313422658356354,-0.11548023782355041,0
0,EpsilonGreedy,13,1.0,2.0,0.06896581026143418,-0.3095934955535962,1
0,EpsilonGreedy,14,0.4,1.0,0.06132902221593049,-0.09331823380276039,0
0,EpsilonGreedy,15,0.7,0.8,0.0549016167730361,-0.10107919860525799,0
0,EpsilonGreedy,16,1.0,2.0,0.08590579433436088,-0.31369007724376297,1
0,EpsilonGreedy,17,0.7,0.8,0.07918750940328462,-0.10182703329985486,0
0,EpsilonGreedy,18,0.7,0.8,0.05797868584058457,-0.10173819443387667,0
0,EpsilonGreedy,19,0.4,2.0,0.0760906472546053,-0.18134209588165795,0
0,EpsilonGreedy,20,0.4,1.0,0.05843248841072939,-0.10070896778904698,0
0,EpsilonGreedy,21,0.4,1.0,0.08150331379436983,-0.09556869776736521,0
0,EpsilonGreedy,22,1.0,0.8,0.08818960202900075,-0.17871028129713926,0
0,EpsilonGreedy,23,1.0,0.8,0.056250277096177366,-0.1280644602661404,0
0,EpsilonGreedy,24,0.7,1.0,0.05610868180693438,-0.12139478375113137,0
0,EpsilonGreedy,25,0.7,2.0,0.053436959348887,-0.240428386039062,1
0,EpsilonGreedy,26,0.7,1.0,0.07521439148819281,-0.11856510860469544,0
